Left Controller Velocity,Left Controller Position X,Left Controller Position Y,Left Controller Position Z,Left Controller Rotation X,Left Controller Rotation Y,Left Controller Rotation Z
0.7651601,-0.318252,1.048364,0.4821971,314.6391,89.6504,233.7201
0.7651601,-0.420928,1.077971,0.4607356,312.6795,67.92442,270.7341
0.7651601,-0.4777794,1.029744,0.4495845,319.6231,63.92929,264.566
0.7651601,-0.5050526,0.9948053,0.4553147,314.6212,55.85302,271.5397
0.7651601,-0.5114359,0.9702988,0.4626456,314.0672,52.9373,271.4223
0.7651601,-0.52016,0.9697727,0.4599333,312.6436,53.65631,269.5797
0.7651601,-0.5574152,1.00603,0.4586504,309.4783,52.51927,264.4285
0.7651601,-0.57094,0.9782282,0.5074742,314.1803,48.07742,257.8324
0.7651601,-0.5555187,0.9166874,0.5498547,321.4328,45.6204,260.3853
0.7651601,-0.5692813,0.9934331,0.5021143,314.8157,50.85515,254.2865
0.7651601,-0.5985599,1.024546,0.4805015,310.61,50.86765,249.8602
0.7651601,-0.6277047,0.9716948,0.5200916,314.6311,41.17992,256.8076
0.7651601,-0.6596749,0.9309564,0.5523667,318.1057,30.94663,268.7669
0.7651601,-0.637082,0.9802828,0.5067812,312.6473,39.70507,260.0198
0.7651601,-0.582678,0.9996868,0.4876276,311.6263,50.62075,253.8915
0.7651601,-0.5481349,0.942387,0.5333143,319.7379,47.23326,256.9112
0.7651601,-0.5226631,0.9576081,0.5180079,318.7767,51.70264,254.2191
0.7651601,-0.4801914,0.9757992,0.5051501,317.1715,60.55123,250.9718
0.7651601,-0.4549286,0.9265926,0.5369455,324.5381,57.74262,254.8836
0.7651601,-0.435287,0.9789121,0.4878393,318.4792,66.80154,246.7904
0.7651601,-0.3843086,0.9223058,0.5326905,322.9038,65.11089,250.371
0.7651601,-0.4048915,0.9636599,0.475432,318.3561,69.01478,248.1206
0.7651601,-0.4400683,0.8990831,0.4991626,324.4412,61.05301,253.3288
0.7651601,-0.5049236,0.9332091,0.4467036,313.5558,60.74476,249.2662
0.7651601,-0.5490323,0.8976147,0.4590639,314.6672,50.42047,256.6308
0.7651601,-0.5484685,0.854918,0.4630269,316.2006,45.17638,267.6448
0.7651601,-0.5565472,0.9047793,0.4286594,309.1625,51.1179,255.963
0.7651601,-0.5100924,0.8886989,0.4200674,309.3778,56.2839,258.9189
0.7651601,-0.4933229,0.9111954,0.3992949,304.8001,63.52669,256.0244
0.8118204,-0.4809039,0.9290348,0.3866223,305.418,66.88577,252.1228
0.8565237,-0.4648693,0.8458312,0.4300072,316.8111,56.48185,264.8515
0.8565237,-0.4462365,0.8731784,0.4015007,304.1462,36.29951,323.4669
0.8565237,-0.4494857,0.8809047,0.3981462,310.4861,11.95387,14.07643
0.8565237,-0.4503248,0.8892371,0.381769,304.5793,12.12064,17.88221
0.8565237,-0.4543939,0.8787676,0.3881574,310.3109,8.244359,23.02846
0.8565237,-0.4610378,0.8772882,0.3954594,312.1613,5.532093,26.05322
0.8565237,-0.4687098,0.8798311,0.3969345,312.3773,3.615984,29.26283
0.8565237,-0.4715867,0.8768678,0.4004964,314.1131,2.412507,30.35581
0.8565237,-0.4743531,0.8730975,0.4065349,315.8191,1.087956,30.29559
0.8565237,-0.475375,0.8616565,0.4186402,317.6286,0.9475169,27.36722
0.8565237,-0.4774032,0.8571876,0.4250279,320.2799,1.166129,23.79434
0.8565237,-0.48415,0.8516473,0.4351646,322.2875,0.6197509,21.4877
0.8565237,-0.5040789,0.8561866,0.4327825,320.257,356.7354,23.47636
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
0.8565237,-0.5118696,0.8522946,0.4350917,321.9448,354.0317,26.11215
